Age,Height(ft)
11,3.92
8,3.15
17,4.87
19,5.21
15,4.06
12,3.68
17,4.76
9,3.62
11,3.8
14,3.77
7,3.0
11,3.58
15,4.3
15,4.68
12,4.21
9,3.58
8,2.85
12,3.81
12,4.0
7,3.19
10,3.36
9,3.24
6,2.37
12,3.54
16,4.94
18,5.51
10,3.48
6,3.0
16,4.81
9,3.11
5,2.61
16,5.16
14,4.29
10,3.97
17,4.11
16,4.95
13,4.13
5,2.41
15,4.53
15,3.9
19,5.23
14,4.41
16,5.14
16,4.54
19,5.06
18,4.95
18,5.37
19,5.4
18,4.94
7,3.05
16,4.73
11,3.99
8,2.89
13,4.0
7,2.78
9,2.86
7,2.99
11,3.78
9,3.3
13,4.03
11,3.28
6,2.57
8,3.0
13,3.86
16,4.65
18,5.22
6,3.27
14,4.35
13,4.18
14,4.28
9,2.72
6,2.69
8,3.12
16,5.44
19,5.24
16,4.79
11,3.69
16,4.35
17,5.24
12,4.13
19,5.54
7,2.63
18,5.52
5,2.08
8,3.28
6,3.36
12,3.6
8,2.93
6,2.73
18,4.95
10,3.03
10,3.52
14,3.98
8,3.24
10,3.22
17,5.36
19,5.07
6,2.6
14,4.54
16,4.33
